[INFO] 2026-08-28T09:40:13 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=10 rtp_ts=72167983 ts_ms=1787910013822
[INFO] 2026-08-28T09:40:13 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=10 rtp_ts=72167983 ts_ms=1787910013823
[INFO] 2026-08-28T09:40:13 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=10 rtp_ts=72167983 ts_ms=1787910013834 inference_latency_ms=11.317
[INFO] 2026-08-28T09:40:13 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=10 rtp_ts=72167983 ts_ms=1787910013840
[INFO] 2026-08-28T09:40:14 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=11 rtp_ts=72191956 ts_ms=1787910014059
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=11 rtp_ts=72191956 ts_ms=1787910014061
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=11 rtp_ts=72191956 ts_ms=1787910014073 inference_latency_ms=12.050
[INFO] 2026-08-28T09:40:14 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=11 rtp_ts=72191956 ts_ms=1787910014076
[INFO] 2026-08-28T09:40:14 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=12 rtp_ts=72216094 ts_ms=1787910014339
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=12 rtp_ts=72216094 ts_ms=1787910014340
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=12 rtp_ts=72216094 ts_ms=1787910014353 inference_latency_ms=13.063
[INFO] 2026-08-28T09:40:14 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=12 rtp_ts=72216094 ts_ms=1787910014356
[INFO] 2026-08-28T09:40:14 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=13 rtp_ts=72240231 ts_ms=1787910014584
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=13 rtp_ts=72240231 ts_ms=1787910014585
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=13 rtp_ts=72240231 ts_ms=1787910014599 inference_latency_ms=14.209
[INFO] 2026-08-28T09:40:14 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=13 rtp_ts=72240231 ts_ms=1787910014603
[INFO] 2026-08-28T09:40:14 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=14 rtp_ts=72264205 ts_ms=1787910014891
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=14 rtp_ts=72264205 ts_ms=1787910014892
[INFO] 2026-08-28T09:40:14 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=14 rtp_ts=72264205 ts_ms=1787910014903 inference_latency_ms=11.291
[INFO] 2026-08-28T09:40:14 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=14 rtp_ts=72264205 ts_ms=1787910014908
[INFO] 2026-08-28T09:40:15 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=15 rtp_ts=72288506 ts_ms=1787910015112
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=15 rtp_ts=72288506 ts_ms=1787910015113
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=15 rtp_ts=72288506 ts_ms=1787910015130 inference_latency_ms=17.160
[INFO] 2026-08-28T09:40:15 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=15 rtp_ts=72288506 ts_ms=1787910015135
[INFO] 2026-08-28T09:40:15 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=16 rtp_ts=72306487 ts_ms=1787910015341
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=16 rtp_ts=72306487 ts_ms=1787910015342
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=16 rtp_ts=72306487 ts_ms=1787910015353 inference_latency_ms=10.569
[INFO] 2026-08-28T09:40:15 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=16 rtp_ts=72306487 ts_ms=1787910015356
[INFO] 2026-08-28T09:40:15 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=17 rtp_ts=72330460 ts_ms=1787910015621
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=17 rtp_ts=72330460 ts_ms=1787910015621
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=17 rtp_ts=72330460 ts_ms=1787910015636 inference_latency_ms=14.456
[INFO] 2026-08-28T09:40:15 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=17 rtp_ts=72330460 ts_ms=1787910015642
[INFO] 2026-08-28T09:40:15 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=18 rtp_ts=72348768 ts_ms=1787910015820
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=18 rtp_ts=72348768 ts_ms=1787910015821
[INFO] 2026-08-28T09:40:15 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=18 rtp_ts=72348768 ts_ms=1787910015831 inference_latency_ms=10.271
[INFO] 2026-08-28T09:40:15 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=18 rtp_ts=72348768 ts_ms=1787910015837
[INFO] 2026-08-28T09:40:16 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=19 rtp_ts=72372742 ts_ms=1787910016061
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=19 rtp_ts=72372742 ts_ms=1787910016061
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=19 rtp_ts=72372742 ts_ms=1787910016074 inference_latency_ms=12.553
[INFO] 2026-08-28T09:40:16 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=19 rtp_ts=72372742 ts_ms=1787910016078
[INFO] 2026-08-28T09:40:16 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=20 rtp_ts=72390722 ts_ms=1787910016304
